"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"3835","HEALTH","30/6/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",15,"# of staff","Al Balqa Governorate","Center",""
"3980","HEALTH","30/1/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",15,"# of staff","Al Balqa Governorate","Center",""
"5165","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",15,"# of staff","Al Balqa Governorate","Center",""
"6139","HEALTH","30/4/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",15,"# of staff","Al Balqa Governorate","Center",""
"6826","HEALTH","30/3/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",15,"# of staff","Al Balqa Governorate","Center",""
"7401","HEALTH","30/5/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",15,"# of staff","Al Balqa Governorate","Center",""
"9975","HEALTH","30/4/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",15,"# of staff","Amman Governorate","Center",""
"10607","HEALTH","30/5/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",15,"# of staff","Amman Governorate","Center",""
"10841","HEALTH","30/1/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",15,"# of staff","Amman Governorate","Center",""
"10954","HEALTH","30/6/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",15,"# of staff","Amman Governorate","Center",""
"11726","HEALTH","30/3/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",15,"# of staff","Amman Governorate","Center",""
"11740","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",15,"# of staff","Amman Governorate","Center",""
"7975","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",0,"# of staff","Amman Governorate","Center",""
"8181","HEALTH","30/1/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",12,"# of staff","Amman Governorate","Center",""
"8893","HEALTH","30/3/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",23,"# of staff","Amman Governorate","Center",""
"11572","HEALTH","30/4/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",35,"# of staff","Amman Governorate","Center",""
"15585","HEALTH","30/6/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AQABAH","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1703",19,"# of staff","Aqaba Governorate","South",""
"16053","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AQABAH","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1703",0,"# of staff","Aqaba Governorate","South",""
"16167","HEALTH","30/5/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AQABAH","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1703",17,"# of staff","Aqaba Governorate","South",""
"21439","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"16959","HEALTH","30/6/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",2,"# of staff","Ar-Ramtha City","North",""
"16960","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"17278","HEALTH","30/8/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"17484","HEALTH","30/5/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",2,"# of staff","Ar-Ramtha City","North",""
"20067","HEALTH","30/4/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"21341","HEALTH","30/10/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",25,"# of staff","Ar-Ramtha City","North",""
"21498","HEALTH","30/7/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"21507","HEALTH","30/9/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"22378","HEALTH","30/3/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","IRBID","","MDM","  Other[Villages, Rural areas]  - ","Appeal outside of 3RP","None - Fund direct from Donors","Yes","1","1707",0,"# of staff","Ar-Ramtha City","North",""
"5604","HEALTH","30/1/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",1,"# of staff","As Salt City","Center",""
"7225","HEALTH","30/3/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",4,"# of staff","As Salt City","Center",""
"7630","HEALTH","28/2/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",0,"# of staff","As Salt City","Center",""
