"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"68052","BN","30/4/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",519,"#","Azraq Camp","North",""
"68195","BN","31/3/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",483,"#","Azraq Camp","North",""
"68240","BN","31/3/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",747,"#","Azraq Camp","North",""
"71008","BN","31/1/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",526,"#","Azraq Camp","North",""
"71083","BN","31/1/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",350,"#","Azraq Camp","North",""
"71350","BN","29/2/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",593,"#","Azraq Camp","North",""
"74871","BN","29/2/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",326,"#","Azraq Camp","North",""
"74981","BN","30/4/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",803,"#","Azraq Camp","North",""
"77076","BN","30/6/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",312,"#","Azraq Camp","North",""
"77079","BN","30/6/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",532,"#","Azraq Camp","North",""
