"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"35988","SHELTER","30/4/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",1501,"# of benef.","Azraq Camp","North",""
"35989","SHELTER","30/7/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",0,"# of benef.","Azraq Camp","North",""
"36691","SHELTER","30/8/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",0,"# of benef.","Azraq Camp","North",""
"36692","SHELTER","28/2/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",2004,"# of benef.","Azraq Camp","North",""
"36912","SHELTER","30/5/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",1582,"# of benef.","Azraq Camp","North",""
"36941","SHELTER","30/1/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",1413,"# of benef.","Azraq Camp","North",""
"36949","SHELTER","30/6/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",318,"# of benef.","Azraq Camp","North",""
"36995","SHELTER","30/3/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","AZRAQCAMP","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",792,"# of benef.","Azraq Camp","North",""
"24261","SHELTER","30/7/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",66,"# of benef.","Zaatari Camp (all district)","North",""
"24262","SHELTER","30/9/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of existing shelters and associated facilities upgraded","# of existing shelters and associated facilities upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",66,"# of benef.","Zaatari Camp (all district)","North",""
