,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
53,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,45,# of benef,Liwa Qasabat Ajlun,North,Urban
54,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-16,# of benef,Liwa Qasabat Ajlun,North,Host Community
69,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,5,# of benef,Liwa Qasabat Ajlun,North,Host Community
77,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,27,# of benef,Liwa Qasabat Ajlun,North,Urban
79,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Host Community Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,55,# of benef,Liwa Qasabat Ajlun,North,Host Community
80,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,16,# of benef,Liwa Qasabat Ajlun,North,Host Community
84,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Host Community Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-45,# of benef,Liwa Qasabat Ajlun,North,Host Community
107,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# who benefit from remedial classes,Host Community Boys (Age 0-17) # who benefit from remedial classes,AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,13,# of benef,Liwa Qasabat Ajlun,North,Host Community
110,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Boys (Age 0-17) # benefiting from life skills activities,AJLOUN,Boys,UPP,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,275,# of benef,Ajlun Governorate,North,Urban
111,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,UPP,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,339,# of benef,Ajlun Governorate,North,Urban
128,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# who benefit from remedial classes,Host Community Girls (Age 0-17) # who benefit from remedial classes,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-48,# of benef,Liwa Qasabat Ajlun,North,Host Community
136,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-35,# of benef,Liwa Qasabat Ajlun,North,Urban
137,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# who benefit from remedial classes,Urban/Rural Syrian Boys (Age 0-17) # who benefit from remedial classes,AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,8,# of benef,Liwa Qasabat Ajlun,North,Urban
143,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,15,# of benef,Ras Munif,North,Urban
159,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,23,# of benef,Ras Munif,North,Host Community
160,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,24,# of benef,Ras Munif,North,Urban
177,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Boys (Age 0-17) # benefiting from life skills activities,AJLOUN,Boys,UPP,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,270,# of benef,Ajlun Governorate,North,Urban
205,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,19,# of benef,Ras Munif,North,Urban
207,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,1,# of benef,Liwa Qasabat Ajlun,North,Host Community
214,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,UPP,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,126,# of benef,Ajlun Governorate,North,Urban
219,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# who benefit from remedial classes,Host Community Girls (Age 0-17) # who benefit from remedial classes,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,165,# of benef,Liwa Qasabat Ajlun,North,Host Community
