,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
24011,PROTECTION,30/5/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Girls (Age 0-17) # provided with transportation from the border,Countrywide,Girls,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,424,# of benef,Country Wide,,Camp
24012,PROTECTION,30/5/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Women (Age 18 and above) # provided with transportation from the border,Countrywide,Women,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,382,# of benef,Country Wide,,Camp
24013,PROTECTION,30/1/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Men (Age 18 and above) # provided with transportation from the border,Countrywide,Men,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,512,# of benef,Country Wide,,Camp
24014,PROTECTION,30/4/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Women (Age 18 and above) # provided with transportation from the border,Countrywide,Women,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,303,# of benef,Country Wide,,Camp
24015,PROTECTION,28/2/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Women (Age 18 and above) # provided with transportation from the border,Countrywide,Women,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,331,# of benef,Country Wide,,Camp
24016,PROTECTION,30/3/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Women (Age 18 and above) # provided with transportation from the border,Countrywide,Women,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,801,# of benef,Country Wide,,Camp
24017,PROTECTION,30/1/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Women (Age 18 and above) # provided with transportation from the border,Countrywide,Women,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,219,# of benef,Country Wide,,Camp
24018,PROTECTION,30/6/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Women (Age 18 and above) # provided with transportation from the border,Countrywide,Women,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,428,# of benef,Country Wide,,Camp
24019,PROTECTION,30/1/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Girls (Age 0-17) # provided with transportation from the border,Countrywide,Girls,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,179,# of benef,Country Wide,,Camp
24020,PROTECTION,30/3/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Girls (Age 0-17) # provided with transportation from the border,Countrywide,Girls,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,841,# of benef,Country Wide,,Camp
24021,PROTECTION,30/4/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Girls (Age 0-17) # provided with transportation from the border,Countrywide,Girls,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,305,# of benef,Country Wide,,Camp
24022,PROTECTION,30/3/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Men (Age 18 and above) # provided with transportation from the border,Countrywide,Men,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,1589,# of benef,Country Wide,,Camp
24023,PROTECTION,30/5/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Men (Age 18 and above) # provided with transportation from the border,Countrywide,Men,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,276,# of benef,Country Wide,,Camp
24024,PROTECTION,28/2/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Men (Age 18 and above) # provided with transportation from the border,Countrywide,Men,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,343,# of benef,Country Wide,,Camp
24025,PROTECTION,30/6/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Men (Age 18 and above) # provided with transportation from the border,Countrywide,Men,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,260,# of benef,Country Wide,,Camp
24026,PROTECTION,30/4/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Men (Age 18 and above) # provided with transportation from the border,Countrywide,Men,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,222,# of benef,Country Wide,,Camp
24027,PROTECTION,28/2/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Boys (Age 0-17) # provided with transportation from the border,Countrywide,Boys,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,390,# of benef,Country Wide,,Camp
24028,PROTECTION,30/1/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Boys (Age 0-17) # provided with transportation from the border,Countrywide,Boys,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,210,# of benef,Country Wide,,Camp
24029,PROTECTION,30/3/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Boys (Age 0-17) # provided with transportation from the border,Countrywide,Boys,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,1031,# of benef,Country Wide,,Camp
24030,PROTECTION,30/5/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Boys (Age 0-17) # provided with transportation from the border,Countrywide,Boys,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,424,# of benef,Country Wide,,Camp
24031,PROTECTION,30/6/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Boys (Age 0-17) # provided with transportation from the border,Countrywide,Boys,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,460,# of benef,Country Wide,,Camp
24032,PROTECTION,30/4/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Boys (Age 0-17) # provided with transportation from the border,Countrywide,Boys,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,323,# of benef,Country Wide,,Camp
24033,PROTECTION,30/6/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Girls (Age 0-17) # provided with transportation from the border,Countrywide,Girls,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,454,# of benef,Country Wide,,Camp
24034,PROTECTION,28/2/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# provided with transportation from the border,Camps Syrian Girls (Age 0-17) # provided with transportation from the border,Countrywide,Girls,IOM,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,No,3,1,318,# of benef,Country Wide,,Camp
3242,PROTECTION,28/2/2015,Refugee Rights Respected,[REF1.2]Registr & Profiling,# enrolled with documentary enrollment,Urban/Rural Syrian Women (Age 18 and above) # enrolled with documentary enrollment,AMMAN,Women,UNHCR,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,2,1705,13,# of benef,Amman Governorate,Center,Urban
