"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"66905","WASH ","30/6/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","AZRAQCAMP","","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",46780940,"liters","Azraq Camp","North",""
"76385","WASH ","31/3/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","AZRAQCAMP","","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",18603860,"liters","Azraq Camp","North",""
"76643","WASH ","31/1/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","AZRAQCAMP","","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",13617740,"liters","Azraq Camp","North",""
"78687","WASH ","29/2/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","AZRAQCAMP","","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",15395000,"liters","Azraq Camp","North",""
"78824","WASH ","31/5/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","AZRAQCAMP","","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",35539510,"liters","Azraq Camp","North",""
"79197","WASH ","30/4/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","AZRAQCAMP","","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",27458.69,"liters","Azraq Camp","North",""
"24667","WASH ","30/6/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","IRBID","","ACTED","     - ","Indirect appeal","UNICEF","Yes","1","1707",735000,"liters","Cyber City Refugee Center","North",""
"24714","WASH ","30/4/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","IRBID","","ACTED","     - ","Indirect appeal","UNICEF","Yes","1","1707",714000,"liters","Cyber City Refugee Center","North",""
"25577","WASH ","29/2/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","IRBID","","ACTED","     - ","Indirect appeal","UNICEF","Yes","1","1707",672000,"liters","Cyber City Refugee Center","North",""
"25602","WASH ","31/1/2016","Access to Water in Camps","[REF1.1.1]Water Trucking","# of liters of safe water distributed through trucks","# of liters of safe water distributed through trucks","IRBID","","ACTED","     - ","Indirect appeal","UNICEF","Yes","1","1707",693000,"liters","Cyber City Refugee Center","North",""
